id,saledate,vehicletype,manufacturer,price,saletype,color,mileage,financingtype,customerarea
61,2019-08-21,CRV,Honda,23744,new,Blue,0,Lease,TimesSquare
62,2021-10-19,Sentra,Nissan,29290,new,Blue,0,Loan,Financial
63,2022-05-01,Optima,Kia,27803,used,Blue,59963,Cash,Chinatown
64,2021-03-16,Forte,Kia,34907,new,Black,0,Loan,UpperEast
65,2019-06-07,Mazda6,Mazda,21538,used,Red,53831,Cash,Astoria
66,2019-10-19,Impreza,Subaru,20078,used,Blue,77936,Cash,Astoria
67,2022-12-18,Impala,Chevrolet,21732,used,White,70667,Loan,Astoria
68,2023-01-15,Focus,Ford,34541,new,White,0,Lease,Bronx
69,2019-05-22,Legacy,Subaru,21130,used,Black,42299,Cash,Financial
70,2019-08-26,Camry,Toyota,24737,new,White,0,Loan,UpperWest
71,2023-05-15,Jetta,Volkswagen,27903,new,Red,0,Loan,Flushing
72,2022-04-30,Forte,Kia,34305,new,Silver,0,Cash,Manhattan
73,2021-12-04,Sportage,Kia,22591,used,Black,21997,Cash,Downtown
74,2022-06-27,RAV4,Toyota,26052,new,Red,0,Loan,Tribeca
75,2021-06-13,Sonata,Hyundai,25337,new,Red,0,Cash,Williamsburg
76,2021-07-14,Optima,Kia,20013,used,Black,18658,Lease,Financial
77,2022-09-05,Escape,Ford,24232,used,White,32272,Lease,Tribeca
78,2021-04-11,Sportage,Kia,24192,used,Silver,24955,Cash,Midtown
79,2023-02-02,Optima,Kia,21776,used,Gray,24433,Lease,Flushing
80,2021-03-14,Sentra,Nissan,29493,new,Red,0,Loan,Bronx
81,2021-07-27,Legacy,Subaru,31164,new,Silver,0,Loan,Midtown
82,2022-04-24,Altima,Nissan,28832,new,White,0,Lease,Flushing
83,2022-01-04,Sportage,Kia,19483,used,Silver,75112,Cash,Tribeca
84,2019-02-06,Sonata,Hyundai,19941,used,Black,70880,Loan,Tribeca
85,2020-03-22,Focus,Ford,15214,used,Gray,73103,Lease,UpperWest
86,2022-04-05,Jetta,Volkswagen,22404,new,Black,0,Cash,Manhattan
87,2020-01-31,Sentra,Nissan,22383,used,Red,70270,Lease,Queens
88,2023-09-04,Tucson,Hyundai,21763,used,Gray,63785,Cash,Midtown
89,2019-04-18,Civic,Honda,28727,used,Gray,37309,Lease,Chelsea
90,2023-11-26,Impala,Chevrolet,28324,used,Black,42849,Cash,Bronx
91,2021-06-15,Accord,Honda,31406,new,Black,0,Loan,LittleItaly
92,2023-04-04,Impala,Chevrolet,21931,new,Red,0,Cash,StatenIsland
93,2022-01-07,Impala,Chevrolet,33337,new,Silver,0,Cash,LittleItaly
94,2019-08-22,Outback,Subaru,23041,new,Red,0,Cash,Bronx
95,2019-12-04,Tiguan,Volkswagen,23233,new,White,0,Loan,Astoria
96,2021-11-19,Tiguan,Volkswagen,26100,used,White,74427,Lease,TimesSquare
97,2019-09-25,Impreza,Subaru,25273,new,Blue,0,Loan,UpperEast
98,2019-04-29,Forte,Kia,21353,new,Blue,0,Cash,Harlem
99,2021-08-19,Optima,Kia,31831,new,Black,0,Loan,Chelsea
100,2022-06-27,Accord,Honda,28654,used,Black,21259,Lease,Harlem
101,2022-08-14,Passat,Volkswagen,18062,used,Gray,12755,Cash,Williamsburg
102,2022-09-02,Accord,Honda,23747,used,Red,48021,Loan,TimesSquare
103,2020-08-09,Corolla,Toyota,23345,new,Black,0,Lease,UpperWest
104,2022-03-09,Tucson,Hyundai,30039,new,Gray,0,Cash,LittleItaly
105,2019-07-28,Fusion,Ford,15300,used,Black,75297,Lease,Williamsburg
106,2020-09-04,Mazda6,Mazda,15385,used,White,75842,Cash,UpperWest
107,2022-10-08,Equinox,Chevrolet,23682,new,Gray,0,Cash,Harlem
108,2019-10-18,CX-5,Mazda,26884,new,Blue,0,Loan,Midtown
109,2019-07-09,CRV,Honda,28343,new,Black,0,Cash,Chelsea
110,2022-11-10,Altima,Nissan,28319,new,Black,0,Loan,Chinatown
111,2020-08-12,RAV4,Toyota,25195,used,Gray,53931,Lease,Tribeca
112,2023-01-31,CRV,Honda,28696,new,White,0,Lease,Queens
113,2019-03-17,Forte,Kia,24962,used,Silver,10669,Cash,Flushing
114,2022-08-09,Altima,Nissan,20524,used,Black,50368,Loan,Harlem
115,2019-08-02,Jetta,Volkswagen,21999,used,Red,15473,Loan,UpperWest
116,2020-10-19,Tiguan,Volkswagen,28081,used,White,28061,Loan,Harlem
117,2020-08-13,Sonata,Hyundai,28466,new,Silver,0,Loan,Financial
118,2019-06-13,Sportage,Kia,34928,new,Silver,0,Cash,Manhattan
119,2021-08-28,Sportage,Kia,18041,new,Gray,0,Lease,Chelsea
120,2019-02-16,Passat,Volkswagen,15613,used,White,19810,Loan,Manhattan
121,2020-12-15,Jetta,Volkswagen,34469,new,Black,0,Lease,LittleItaly
122,2019-07-01,Impreza,Subaru,26750,used,Silver,59471,Lease,Financial
123,2021-12-30,Civic,Honda,19812,used,Black,20179,Loan,Bronx
124,2021-11-04,Equinox,Chevrolet,29786,new,Red,0,Loan,Astoria
125,2022-08-19,Impala,Chevrolet,32210,new,Blue,0,Lease,Astoria
126,2023-11-19,Jetta,Volkswagen,30339,new,White,0,Cash,Flushing
127,2020-06-23,Escape,Ford,30118,new,Silver,0,Cash,TimesSquare
128,2023-02-16,Focus,Ford,23745,new,Red,0,Loan,UpperEast
129,2022-04-09,Escape,Ford,16065,used,Black,47389,Lease,Queens
130,2019-06-13,Mazda3,Mazda,18456,used,White,65898,Lease,Flushing
131,2022-04-30,Outback,Subaru,27502,new,Silver,0,Cash,Chelsea
132,2019-03-12,Tucson,Hyundai,27763,new,Gray,0,Cash,Chelsea
133,2023-02-05,CRV,Honda,20277,used,White,57325,Loan,Astoria
134,2019-08-10,Sportage,Kia,27271,used,Gray,14113,Lease,UpperWest
135,2022-02-20,Mazda3,Mazda,15335,used,Red,17598,Lease,Harlem
136,2023-03-29,Optima,Kia,25406,used,Silver,68196,Cash,Astoria
137,2022-02-18,Accord,Honda,23258,new,Blue,0,Cash,Chelsea
138,2019-07-27,CRV,Honda,22911,used,Gray,25811,Lease,Bronx
139,2021-03-21,Tiguan,Volkswagen,22399,used,White,74463,Loan,TimesSquare
140,2023-04-14,Outback,Subaru,30849,new,Blue,0,Loan,Brooklyn
141,2022-07-23,Sonata,Hyundai,34297,new,White,0,Lease,Flushing
142,2023-03-11,Rogue,Nissan,26108,used,Blue,12206,Lease,Financial
143,2023-12-05,Escape,Ford,29499,new,Red,0,Lease,Brooklyn
144,2022-06-18,Passat,Volkswagen,25170,new,Red,0,Cash,TimesSquare
145,2019-07-30,Forte,Kia,15642,used,Blue,36600,Cash,Williamsburg
146,2020-08-27,Outback,Subaru,24047,used,White,73598,Lease,Financial
147,2020-02-22,Rogue,Nissan,27030,used,Black,20131,Cash,SoHo
148,2020-06-28,Passat,Volkswagen,25168,new,Silver,0,Cash,Flushing
149,2022-07-23,Sportage,Kia,24673,used,White,22093,Loan,Chinatown
150,2020-08-14,Impala,Chevrolet,28887,used,Gray,10343,Loan,Chelsea
151,2021-07-17,Impreza,Subaru,28648,used,Gray,70540,Loan,Financial
152,2020-11-23,Forte,Kia,16385,used,Silver,60037,Loan,Midtown
153,2022-01-25,Outback,Subaru,28074,used,Silver,37975,Cash,TimesSquare
154,2023-02-15,CX-5,Mazda,15116,used,Black,46180,Lease,Williamsburg
155,2020-07-17,Sentra,Nissan,23128,used,Red,63625,Lease,Astoria
156,2020-10-07,Sportage,Kia,24194,used,Red,76859,Loan,Midtown
157,2022-12-16,Outback,Subaru,21502,used,Blue,74665,Loan,Downtown
158,2022-12-26,Jetta,Volkswagen,26504,used,Gray,77974,Loan,UpperEast
159,2021-05-26,Forte,Kia,20792,used,Gray,79548,Lease,Williamsburg
160,2019-10-26,Outback,Subaru,23867,new,Black,0,Lease,Chelsea
161,2021-03-30,Impreza,Subaru,22994,new,Red,0,Cash,Bronx
162,2021-07-03,Legacy,Subaru,26336,used,White,70790,Loan,Chinatown
163,2023-12-15,Outback,Subaru,32245,new,Blue,0,Loan,Manhattan
164,2019-07-22,Jetta,Volkswagen,22488,new,Silver,0,Cash,Chelsea
165,2022-06-24,Outback,Subaru,34380,new,Red,0,Lease,Chelsea
166,2022-03-02,Forte,Kia,19442,used,Red,41146,Cash,UpperWest
167,2019-10-03,Jetta,Volkswagen,26948,new,Black,0,Loan,Queens
168,2020-08-31,Accord,Honda,18066,new,White,0,Lease,TimesSquare
169,2020-10-29,Tucson,Hyundai,34018,new,Red,0,Loan,Tribeca
170,2021-04-07,Passat,Volkswagen,20560,used,Black,54120,Loan,UpperWest
171,2022-07-16,Impreza,Subaru,25281,new,Silver,0,Cash,Chelsea
172,2021-10-01,Sonata,Hyundai,22260,used,Silver,19368,Loan,UpperWest
173,2019-10-03,Tucson,Hyundai,23966,used,Blue,15336,Lease,Chelsea
174,2022-03-19,Civic,Honda,26335,used,Blue,11110,Lease,SoHo
175,2022-04-27,Mazda3,Mazda,30724,new,Gray,0,Cash,Harlem
176,2019-09-10,CX-5,Mazda,16430,used,White,60095,Loan,Queens
177,2022-12-05,Sportage,Kia,19573,used,White,20373,Lease,Midtown
178,2019-03-23,Impreza,Subaru,15196,used,Blue,13915,Cash,Harlem
179,2019-09-14,Sentra,Nissan,22059,new,White,0,Lease,Brooklyn
180,2023-09-18,Outback,Subaru,27359,used,Gray,52513,Loan,Astoria
181,2020-12-18,Forte,Kia,22035,new,Red,0,Cash,TimesSquare
182,2021-09-16,Altima,Nissan,15582,used,Red,68639,Cash,UpperEast
183,2019-06-13,Outback,Subaru,19793,new,Gray,0,Cash,Midtown
184,2020-02-15,Optima,Kia,20124,used,Red,35326,Loan,Brooklyn
185,2023-09-07,Civic,Honda,23154,used,Gray,79211,Lease,Flushing
186,2021-11-10,Malibu,Chevrolet,29626,new,White,0,Cash,Chelsea
187,2020-06-02,Rogue,Nissan,22302,used,Silver,63263,Cash,SoHo
188,2019-11-06,Fusion,Ford,25202,new,Black,0,Lease,Chelsea
189,2023-03-21,Equinox,Chevrolet,26213,used,White,26553,Loan,StatenIsland
190,2022-05-28,Escape,Ford,15261,used,Blue,23812,Loan,SoHo
191,2019-02-13,Elantra,Hyundai,23672,used,Black,62930,Cash,UpperWest
192,2021-05-04,Mazda6,Mazda,23682,new,Silver,0,Lease,Chinatown
193,2019-03-09,Civic,Honda,15495,used,Red,72907,Loan,Williamsburg
194,2022-03-31,Accord,Honda,15941,used,White,64984,Loan,LittleItaly
195,2023-06-10,Mazda3,Mazda,20546,used,Gray,11501,Lease,Flushing
196,2023-05-22,Impala,Chevrolet,31322,new,Blue,0,Cash,LittleItaly
197,2019-10-31,Accord,Honda,20046,new,Silver,0,Lease,Brooklyn
198,2022-12-15,Fusion,Ford,27677,new,Gray,0,Loan,Flushing
199,2021-12-21,Focus,Ford,20535,used,White,46336,Lease,StatenIsland
200,2022-01-27,Civic,Honda,31941,new,Blue,0,Lease,UpperEast
201,2021-04-29,Focus,Ford,29210,used,Red,42872,Loan,UpperWest
202,2020-05-27,Jetta,Volkswagen,23659,used,Gray,27670,Lease,Midtown
203,2020-06-12,Equinox,Chevrolet,27117,used,Blue,53546,Loan,SoHo
204,2023-12-09,Equinox,Chevrolet,22499,new,Silver,0,Cash,Harlem
205,2023-12-20,Altima,Nissan,32678,new,Black,0,Loan,Downtown
206,2019-11-02,CX-5,Mazda,34824,new,Black,0,Lease,Harlem
207,2020-12-31,Fusion,Ford,25428,new,Gray,0,Cash,SoHo
208,2019-07-28,Accord,Honda,18772,used,Red,79757,Lease,Flushing
209,2019-12-25,Corolla,Toyota,19798,used,Black,66014,Lease,UpperWest
210,2023-03-17,Corolla,Toyota,25500,used,Red,41650,Lease,Queens
211,2023-01-04,RAV4,Toyota,18077,new,Red,0,Cash,Queens
212,2019-01-16,Focus,Ford,26118,new,White,0,Loan,LittleItaly
213,2022-01-27,Passat,Volkswagen,23448,new,Silver,0,Lease,Downtown
214,2020-11-01,Sentra,Nissan,21336,used,Blue,67516,Lease,Astoria
215,2022-05-24,Sonata,Hyundai,20363,used,Blue,77505,Lease,UpperWest
216,2020-04-27,Civic,Honda,28883,new,White,0,Loan,Downtown
217,2020-02-06,Sentra,Nissan,16322,used,Silver,66227,Lease,Brooklyn
218,2022-03-11,Tucson,Hyundai,25574,used,Black,66449,Loan,Astoria
219,2022-10-25,RAV4,Toyota,15241,used,Silver,51372,Loan,SoHo
220,2021-09-05,Passat,Volkswagen,31948,new,Red,0,Cash,UpperWest
221,2019-10-08,Legacy,Subaru,19138,new,White,0,Lease,Bronx
222,2023-02-07,Sonata,Hyundai,19253,new,Silver,0,Loan,Chelsea
223,2022-10-28,Tucson,Hyundai,34200,new,Red,0,Loan,Flushing
224,2019-06-18,CX-5,Mazda,21159,new,Gray,0,Lease,Financial
225,2020-02-12,Altima,Nissan,31027,new,Black,0,Loan,SoHo
226,2021-01-15,Mazda3,Mazda,23952,new,White,0,Loan,Financial
227,2020-07-12,Malibu,Chevrolet,27917,new,Silver,0,Lease,Chinatown
228,2022-01-08,Malibu,Chevrolet,25809,new,Black,0,Lease,Williamsburg
229,2022-04-08,Impala,Chevrolet,30239,new,Gray,0,Cash,UpperWest
230,2021-11-02,Focus,Ford,27319,new,Silver,0,Loan,StatenIsland
231,2020-02-18,Legacy,Subaru,25481,new,Red,0,Lease,Financial
232,2022-05-30,RAV4,Toyota,28016,used,Blue,35202,Cash,SoHo
233,2021-08-04,Sonata,Hyundai,22987,used,Black,40089,Cash,UpperEast
234,2021-08-11,Focus,Ford,17707,used,Gray,28412,Cash,Queens
235,2022-07-22,CX-5,Mazda,22813,used,Blue,12060,Cash,Astoria
236,2020-05-17,Sportage,Kia,19975,new,Blue,0,Lease,SoHo
237,2019-10-23,Sonata,Hyundai,25188,new,Red,0,Lease,Flushing
238,2022-05-06,Impreza,Subaru,25335,new,Blue,0,Lease,UpperWest
239,2019-06-15,Malibu,Chevrolet,24536,used,Red,11489,Lease,Brooklyn
240,2021-05-29,Impreza,Subaru,20826,new,White,0,Lease,UpperEast
241,2023-12-09,Civic,Honda,29787,used,Blue,28132,Loan,StatenIsland
242,2019-04-16,Tucson,Hyundai,28409,used,Silver,16850,Cash,Financial
243,2023-10-28,Equinox,Chevrolet,28072,used,Gray,49316,Loan,Financial
244,2020-07-06,RAV4,Toyota,28234,new,White,0,Lease,Flushing
245,2023-12-18,Passat,Volkswagen,20707,used,Red,39538,Lease,UpperWest
246,2023-03-16,Legacy,Subaru,21228,used,Blue,76730,Loan,Harlem
247,2019-01-26,Malibu,Chevrolet,20600,used,Blue,11743,Loan,Williamsburg
248,2019-07-12,Sentra,Nissan,30907,new,Gray,0,Loan,StatenIsland
249,2019-09-21,Malibu,Chevrolet,23358,used,Black,10012,Lease,Brooklyn
250,2022-10-18,Rogue,Nissan,30128,new,Blue,0,Lease,Queens
251,2021-12-23,Legacy,Subaru,25676,new,Gray,0,Cash,Bronx
252,2023-03-23,Malibu,Chevrolet,30479,new,Blue,0,Lease,TimesSquare
253,2023-08-14,RAV4,Toyota,30232,new,Black,0,Lease,Astoria
254,2020-03-06,Equinox,Chevrolet,25050,new,Gray,0,Cash,Downtown
255,2020-10-26,CX-5,Mazda,18924,new,White,0,Cash,Harlem
256,2019-06-01,Camry,Toyota,26140,new,Black,0,Cash,Flushing
257,2021-03-18,Forte,Kia,23468,new,Red,0,Cash,UpperEast
258,2019-06-26,Passat,Volkswagen,21413,used,Gray,71838,Cash,LittleItaly
259,2019-03-08,Corolla,Toyota,29429,new,Black,0,Lease,Astoria
260,2020-05-17,Camry,Toyota,19976,used,Silver,74448,Loan,Queens
261,2019-04-20,Sentra,Nissan,21426,new,Red,0,Lease,Harlem
262,2023-11-22,Mazda6,Mazda,32441,new,Silver,0,Cash,Chelsea
263,2021-02-13,Sportage,Kia,26946,used,Blue,26048,Loan,Bronx
264,2023-06-28,Forte,Kia,19830,new,Silver,0,Lease,Downtown
265,2020-04-03,Altima,Nissan,32531,new,Blue,0,Lease,Midtown
266,2022-06-06,CRV,Honda,22954,new,Blue,0,Lease,LittleItaly
267,2020-02-03,Altima,Nissan,15275,used,Gray,17990,Lease,Queens
268,2021-04-17,Accord,Honda,21503,new,Silver,0,Lease,Financial
269,2020-11-26,Equinox,Chevrolet,28145,new,Gray,0,Lease,Midtown
270,2021-11-27,Altima,Nissan,19286,new,Black,0,Loan,Flushing
271,2019-08-14,Equinox,Chevrolet,20750,used,Gray,37932,Lease,Chinatown
272,2021-08-24,Escape,Ford,18141,new,Blue,0,Cash,Chelsea
273,2022-07-09,Fusion,Ford,28981,used,Silver,20827,Lease,Flushing
274,2022-01-11,CX-5,Mazda,28406,used,Black,35932,Cash,Chelsea
275,2019-10-20,Rogue,Nissan,20967,new,Red,0,Cash,Tribeca
276,2022-03-04,Corolla,Toyota,25378,used,Blue,46697,Cash,Downtown
277,2020-06-27,CX-5,Mazda,20865,used,Silver,11306,Lease,Downtown
278,2022-08-03,Focus,Ford,29747,used,Red,36430,Loan,Flushing
279,2023-05-29,Accord,Honda,33336,new,Red,0,Loan,Downtown
280,2022-10-24,Sportage,Kia,19067,new,Blue,0,Loan,SoHo
281,2021-12-18,Impreza,Subaru,23483,new,White,0,Loan,Harlem
282,2023-12-25,Equinox,Chevrolet,30655,new,White,0,Loan,Brooklyn
283,2023-09-28,Legacy,Subaru,21297,new,Gray,0,Cash,SoHo
284,2022-10-03,Focus,Ford,28136,used,Red,53005,Lease,Queens
285,2023-03-19,Passat,Volkswagen,28386,used,White,40737,Lease,Harlem
286,2021-06-11,Mazda6,Mazda,16793,used,Silver,67957,Lease,Manhattan
287,2021-01-28,CX-5,Mazda,34204,new,White,0,Cash,Chelsea
288,2020-02-04,Focus,Ford,19104,used,Red,22757,Cash,Financial
289,2020-07-22,Impreza,Subaru,19263,new,Blue,0,Loan,Flushing
290,2022-04-05,CX-5,Mazda,33528,new,Black,0,Cash,Flushing
291,2021-02-01,Focus,Ford,34256,new,Black,0,Lease,UpperWest
292,2019-12-04,Focus,Ford,28588,new,Silver,0,Cash,Williamsburg
293,2023-05-26,Malibu,Chevrolet,15655,used,Red,15317,Loan,Chinatown
294,2022-03-28,Equinox,Chevrolet,18564,new,Blue,0,Lease,Downtown
295,2022-09-01,CRV,Honda,19688,used,Silver,37281,Cash,SoHo
296,2023-06-29,Outback,Subaru,27410,used,Black,32301,Lease,SoHo
297,2019-11-09,Jetta,Volkswagen,24791,used,White,68968,Lease,StatenIsland
298,2021-12-17,Sonata,Hyundai,22325,new,Silver,0,Lease,Downtown
299,2021-10-07,Passat,Volkswagen,28927,used,White,56197,Cash,StatenIsland
300,2021-11-01,Fusion,Ford,32988,new,Silver,0,Cash,UpperWest
301,2022-08-28,Sonata,Hyundai,26581,new,Red,0,Cash,TimesSquare
302,2023-01-20,Elantra,Hyundai,25017,new,Silver,0,Lease,Astoria
303,2023-06-08,Passat,Volkswagen,19471,new,Gray,0,Lease,StatenIsland
304,2023-01-22,Sportage,Kia,34598,new,Black,0,Cash,Queens
305,2023-05-17,Forte,Kia,19091,new,Blue,0,Loan,Flushing
306,2019-07-15,Fusion,Ford,27154,new,Black,0,Cash,Brooklyn
307,2019-08-14,Escape,Ford,25122,new,Gray,0,Loan,UpperEast
308,2020-02-12,Tucson,Hyundai,34402,new,Blue,0,Lease,UpperEast
309,2022-11-16,CX-5,Mazda,16919,used,Blue,35722,Loan,TimesSquare
310,2022-09-09,Tucson,Hyundai,23074,used,Blue,39258,Lease,Chinatown
311,2021-09-18,Malibu,Chevrolet,20221,new,Black,0,Cash,Tribeca
312,2021-01-16,Focus,Ford,27261,used,White,55049,Lease,Queens
313,2020-12-18,Sportage,Kia,26411,used,Silver,35865,Lease,Midtown
314,2022-04-27,Focus,Ford,20657,used,White,20483,Loan,Astoria
315,2023-10-20,Sentra,Nissan,29575,used,Blue,37955,Cash,Bronx
316,2020-07-08,Corolla,Toyota,34471,new,Gray,0,Lease,Flushing
317,2020-11-14,Mazda6,Mazda,30737,new,Red,0,Cash,Queens
318,2019-04-09,Mazda3,Mazda,29494,new,Gray,0,Lease,Bronx
319,2022-12-31,CX-5,Mazda,19644,used,Gray,25483,Lease,Midtown
320,2021-10-04,Corolla,Toyota,25414,new,Silver,0,Loan,Flushing
321,2021-04-25,Sentra,Nissan,21862,used,White,65266,Cash,Chelsea
322,2021-11-26,Legacy,Subaru,19277,new,Red,0,Loan,Brooklyn
323,2019-10-21,Focus,Ford,19972,used,Silver,63698,Cash,SoHo
324,2023-06-29,Tiguan,Volkswagen,17406,used,Blue,47783,Lease,Flushing
325,2020-10-04,Focus,Ford,23682,new,Red,0,Loan,LittleItaly
326,2022-07-10,Jetta,Volkswagen,18912,new,Red,0,Cash,Harlem
327,2022-12-03,Passat,Volkswagen,23205,new,Gray,0,Lease,Midtown
328,2022-12-09,Tucson,Hyundai,28007,used,White,60964,Loan,TimesSquare
329,2019-07-19,Tucson,Hyundai,20326,new,Gray,0,Loan,Harlem
330,2020-03-21,Elantra,Hyundai,19645,new,Blue,0,Lease,Financial
331,2020-04-11,Mazda6,Mazda,30895,new,Blue,0,Lease,UpperWest
332,2021-06-22,Elantra,Hyundai,28107,used,Black,30110,Loan,Chelsea
333,2023-08-29,Impala,Chevrolet,18329,new,Black,0,Loan,TimesSquare
334,2023-01-08,CX-5,Mazda,30414,new,Silver,0,Loan,Astoria
335,2020-12-24,Jetta,Volkswagen,24578,used,Red,68407,Lease,LittleItaly
336,2021-01-20,Tiguan,Volkswagen,22944,used,Black,60227,Lease,Chinatown
337,2023-01-15,Tiguan,Volkswagen,27905,used,Gray,64781,Cash,Downtown
338,2021-09-30,Fusion,Ford,27253,used,Black,53268,Lease,Downtown
339,2022-09-22,Tucson,Hyundai,31821,new,White,0,Loan,Manhattan
340,2023-05-12,Impreza,Subaru,27876,new,Silver,0,Loan,Brooklyn
341,2022-12-22,CRV,Honda,28269,new,Black,0,Loan,Astoria
342,2021-05-10,Malibu,Chevrolet,19773,used,Black,31600,Lease,LittleItaly
343,2020-03-01,Jetta,Volkswagen,21292,new,Blue,0,Lease,Midtown
344,2020-02-09,Escape,Ford,29803,used,Gray,64557,Cash,Williamsburg
345,2020-11-08,Mazda6,Mazda,30424,new,Red,0,Loan,TimesSquare
346,2019-06-25,Corolla,Toyota,24828,used,White,37678,Loan,Midtown
347,2021-07-26,Impreza,Subaru,30613,new,Silver,0,Cash,Chinatown
348,2022-03-11,Accord,Honda,30484,new,Gray,0,Lease,UpperWest
349,2020-02-13,Outback,Subaru,20789,new,White,0,Loan,Downtown
350,2023-06-07,Passat,Volkswagen,33089,new,Gray,0,Cash,Harlem
351,2019-04-06,Malibu,Chevrolet,23184,new,Silver,0,Loan,Williamsburg
352,2019-01-13,Fusion,Ford,18184,used,White,62486,Lease,UpperWest
353,2019-10-13,Impala,Chevrolet,30504,new,Silver,0,Loan,Queens
354,2023-08-19,Legacy,Subaru,18155,new,Gray,0,Lease,Harlem
