id,saledate,vehicletype,manufacturer,price,saletype,customerage,color,mileage,financingtype
162,2021-07-03,Legacy,Subaru,26336,used,64,White,70790,Loan
163,2023-12-15,Outback,Subaru,32245,new,55,Blue,0,Loan
164,2019-07-22,Jetta,Volkswagen,22488,new,65,Silver,0,Cash
165,2022-06-24,Outback,Subaru,34380,new,51,Red,0,Lease
166,2022-03-02,Forte,Kia,19442,used,38,Red,41146,Cash
167,2019-10-03,Jetta,Volkswagen,26948,new,39,Black,0,Loan
168,2020-08-31,Accord,Honda,18066,new,37,White,0,Lease
169,2020-10-29,Tucson,Hyundai,34018,new,46,Red,0,Loan
170,2021-04-07,Passat,Volkswagen,20560,used,33,Black,54120,Loan
171,2022-07-16,Impreza,Subaru,25281,new,32,Silver,0,Cash
172,2021-10-01,Sonata,Hyundai,22260,used,63,Silver,19368,Loan
173,2019-10-03,Tucson,Hyundai,23966,used,39,Blue,15336,Lease
174,2022-03-19,Civic,Honda,26335,used,25,Blue,11110,Lease
175,2022-04-27,Mazda3,Mazda,30724,new,45,Gray,0,Cash
176,2019-09-10,CX-5,Mazda,16430,used,64,White,60095,Loan
177,2022-12-05,Sportage,Kia,19573,used,51,White,20373,Lease
178,2019-03-23,Impreza,Subaru,15196,used,51,Blue,13915,Cash
179,2019-09-14,Sentra,Nissan,22059,new,31,White,0,Lease
180,2023-09-18,Outback,Subaru,27359,used,57,Gray,52513,Loan
181,2020-12-18,Forte,Kia,22035,new,47,Red,0,Cash
182,2021-09-16,Altima,Nissan,15582,used,54,Red,68639,Cash
183,2019-06-13,Outback,Subaru,19793,new,26,Gray,0,Cash
184,2020-02-15,Optima,Kia,20124,used,40,Red,35326,Loan
185,2023-09-07,Civic,Honda,23154,used,29,Gray,79211,Lease
186,2021-11-10,Malibu,Chevrolet,29626,new,35,White,0,Cash
187,2020-06-02,Rogue,Nissan,22302,used,61,Silver,63263,Cash
188,2019-11-06,Fusion,Ford,25202,new,31,Black,0,Lease
189,2023-03-21,Equinox,Chevrolet,26213,used,46,White,26553,Loan
190,2022-05-28,Escape,Ford,15261,used,38,Blue,23812,Loan
191,2019-02-13,Elantra,Hyundai,23672,used,60,Black,62930,Cash
192,2021-05-04,Mazda6,Mazda,23682,new,27,Silver,0,Lease
193,2019-03-09,Civic,Honda,15495,used,48,Red,72907,Loan
194,2022-03-31,Accord,Honda,15941,used,65,White,64984,Loan
195,2023-06-10,Mazda3,Mazda,20546,used,48,Gray,11501,Lease
196,2023-05-22,Impala,Chevrolet,31322,new,44,Blue,0,Cash
197,2019-10-31,Accord,Honda,20046,new,42,Silver,0,Lease
198,2022-12-15,Fusion,Ford,27677,new,29,Gray,0,Loan
199,2021-12-21,Focus,Ford,20535,used,50,White,46336,Lease
200,2022-01-27,Civic,Honda,31941,new,30,Blue,0,Lease
201,2021-04-29,Focus,Ford,29210,used,46,Red,42872,Loan
202,2020-05-27,Jetta,Volkswagen,23659,used,54,Gray,27670,Lease
203,2020-06-12,Equinox,Chevrolet,27117,used,48,Blue,53546,Loan
204,2023-12-09,Equinox,Chevrolet,22499,new,51,Silver,0,Cash
205,2023-12-20,Altima,Nissan,32678,new,44,Black,0,Loan
206,2019-11-02,CX-5,Mazda,34824,new,27,Black,0,Lease
207,2020-12-31,Fusion,Ford,25428,new,50,Gray,0,Cash
208,2019-07-28,Accord,Honda,18772,used,52,Red,79757,Lease
209,2019-12-25,Corolla,Toyota,19798,used,51,Black,66014,Lease
210,2023-03-17,Corolla,Toyota,25500,used,63,Red,41650,Lease
211,2023-01-04,RAV4,Toyota,18077,new,28,Red,0,Cash
212,2019-01-16,Focus,Ford,26118,new,34,White,0,Loan
213,2022-01-27,Passat,Volkswagen,23448,new,43,Silver,0,Lease
214,2020-11-01,Sentra,Nissan,21336,used,36,Blue,67516,Lease
215,2022-05-24,Sonata,Hyundai,20363,used,50,Blue,77505,Lease
216,2020-04-27,Civic,Honda,28883,new,25,White,0,Loan
217,2020-02-06,Sentra,Nissan,16322,used,23,Silver,66227,Lease
218,2022-03-11,Tucson,Hyundai,25574,used,50,Black,66449,Loan
219,2022-10-25,RAV4,Toyota,15241,used,36,Silver,51372,Loan
220,2021-09-05,Passat,Volkswagen,31948,new,26,Red,0,Cash
221,2019-10-08,Legacy,Subaru,19138,new,56,White,0,Lease
222,2023-02-07,Sonata,Hyundai,19253,new,27,Silver,0,Loan
223,2022-10-28,Tucson,Hyundai,34200,new,34,Red,0,Loan
224,2019-06-18,CX-5,Mazda,21159,new,30,Gray,0,Lease
225,2020-02-12,Altima,Nissan,31027,new,59,Black,0,Loan
226,2021-01-15,Mazda3,Mazda,23952,new,32,White,0,Loan
227,2020-07-12,Malibu,Chevrolet,27917,new,63,Silver,0,Lease
228,2022-01-08,Malibu,Chevrolet,25809,new,26,Black,0,Lease
229,2022-04-08,Impala,Chevrolet,30239,new,59,Gray,0,Cash
230,2021-11-02,Focus,Ford,27319,new,31,Silver,0,Loan
231,2020-02-18,Legacy,Subaru,25481,new,63,Red,0,Lease
232,2022-05-30,RAV4,Toyota,28016,used,55,Blue,35202,Cash
233,2021-08-04,Sonata,Hyundai,22987,used,31,Black,40089,Cash
234,2021-08-11,Focus,Ford,17707,used,38,Gray,28412,Cash
235,2022-07-22,CX-5,Mazda,22813,used,55,Blue,12060,Cash
236,2020-05-17,Sportage,Kia,19975,new,42,Blue,0,Lease
237,2019-10-23,Sonata,Hyundai,25188,new,65,Red,0,Lease
238,2022-05-06,Impreza,Subaru,25335,new,56,Blue,0,Lease
239,2019-06-15,Malibu,Chevrolet,24536,used,62,Red,11489,Lease
240,2021-05-29,Impreza,Subaru,20826,new,42,White,0,Lease
241,2023-12-09,Civic,Honda,29787,used,24,Blue,28132,Loan
242,2019-04-16,Tucson,Hyundai,28409,used,28,Silver,16850,Cash
243,2023-10-28,Equinox,Chevrolet,28072,used,46,Gray,49316,Loan
244,2020-07-06,RAV4,Toyota,28234,new,36,White,0,Lease
245,2023-12-18,Passat,Volkswagen,20707,used,47,Red,39538,Lease
246,2023-03-16,Legacy,Subaru,21228,used,56,Blue,76730,Loan
247,2019-01-26,Malibu,Chevrolet,20600,used,48,Blue,11743,Loan
248,2019-07-12,Sentra,Nissan,30907,new,26,Gray,0,Loan
249,2019-09-21,Malibu,Chevrolet,23358,used,53,Black,10012,Lease
250,2022-10-18,Rogue,Nissan,30128,new,41,Blue,0,Lease
251,2021-12-23,Legacy,Subaru,25676,new,47,Gray,0,Cash
252,2023-03-23,Malibu,Chevrolet,30479,new,28,Blue,0,Lease
253,2023-08-14,RAV4,Toyota,30232,new,40,Black,0,Lease
254,2020-03-06,Equinox,Chevrolet,25050,new,33,Gray,0,Cash
255,2020-10-26,CX-5,Mazda,18924,new,44,White,0,Cash
256,2019-06-01,Camry,Toyota,26140,new,52,Black,0,Cash
257,2021-03-18,Forte,Kia,23468,new,40,Red,0,Cash
258,2019-06-26,Passat,Volkswagen,21413,used,23,Gray,71838,Cash
259,2019-03-08,Corolla,Toyota,29429,new,63,Black,0,Lease
260,2020-05-17,Camry,Toyota,19976,used,27,Silver,74448,Loan
261,2019-04-20,Sentra,Nissan,21426,new,53,Red,0,Lease
262,2023-11-22,Mazda6,Mazda,32441,new,55,Silver,0,Cash
263,2021-02-13,Sportage,Kia,26946,used,43,Blue,26048,Loan
264,2023-06-28,Forte,Kia,19830,new,65,Silver,0,Lease
265,2020-04-03,Altima,Nissan,32531,new,61,Blue,0,Lease
266,2022-06-06,CRV,Honda,22954,new,31,Blue,0,Lease
267,2020-02-03,Altima,Nissan,15275,used,60,Gray,17990,Lease
268,2021-04-17,Accord,Honda,21503,new,54,Silver,0,Lease
269,2020-11-26,Equinox,Chevrolet,28145,new,63,Gray,0,Lease
270,2021-11-27,Altima,Nissan,19286,new,23,Black,0,Loan
271,2019-08-14,Equinox,Chevrolet,20750,used,22,Gray,37932,Lease
272,2021-08-24,Escape,Ford,18141,new,38,Blue,0,Cash
273,2022-07-09,Fusion,Ford,28981,used,28,Silver,20827,Lease
274,2022-01-11,CX-5,Mazda,28406,used,64,Black,35932,Cash
275,2019-10-20,Rogue,Nissan,20967,new,52,Red,0,Cash
276,2022-03-04,Corolla,Toyota,25378,used,37,Blue,46697,Cash
277,2020-06-27,CX-5,Mazda,20865,used,37,Silver,11306,Lease
278,2022-08-03,Focus,Ford,29747,used,53,Red,36430,Loan
279,2023-05-29,Accord,Honda,33336,new,51,Red,0,Loan
280,2022-10-24,Sportage,Kia,19067,new,43,Blue,0,Loan
281,2021-12-18,Impreza,Subaru,23483,new,49,White,0,Loan
282,2023-12-25,Equinox,Chevrolet,30655,new,57,White,0,Loan
283,2023-09-28,Legacy,Subaru,21297,new,40,Gray,0,Cash
284,2022-10-03,Focus,Ford,28136,used,36,Red,53005,Lease
285,2023-03-19,Passat,Volkswagen,28386,used,49,White,40737,Lease
286,2021-06-11,Mazda6,Mazda,16793,used,46,Silver,67957,Lease
287,2021-01-28,CX-5,Mazda,34204,new,60,White,0,Cash
288,2020-02-04,Focus,Ford,19104,used,47,Red,22757,Cash
289,2020-07-22,Impreza,Subaru,19263,new,45,Blue,0,Loan
290,2022-04-05,CX-5,Mazda,33528,new,26,Black,0,Cash
291,2021-02-01,Focus,Ford,34256,new,42,Black,0,Lease
292,2019-12-04,Focus,Ford,28588,new,29,Silver,0,Cash
293,2023-05-26,Malibu,Chevrolet,15655,used,26,Red,15317,Loan
294,2022-03-28,Equinox,Chevrolet,18564,new,46,Blue,0,Lease
295,2022-09-01,CRV,Honda,19688,used,29,Silver,37281,Cash
296,2023-06-29,Outback,Subaru,27410,used,28,Black,32301,Lease
297,2019-11-09,Jetta,Volkswagen,24791,used,45,White,68968,Lease
298,2021-12-17,Sonata,Hyundai,22325,new,33,Silver,0,Lease
299,2021-10-07,Passat,Volkswagen,28927,used,40,White,56197,Cash
300,2021-11-01,Fusion,Ford,32988,new,29,Silver,0,Cash
301,2022-08-28,Sonata,Hyundai,26581,new,62,Red,0,Cash
302,2023-01-20,Elantra,Hyundai,25017,new,41,Silver,0,Lease
303,2023-06-08,Passat,Volkswagen,19471,new,49,Gray,0,Lease
304,2023-01-22,Sportage,Kia,34598,new,53,Black,0,Cash
305,2023-05-17,Forte,Kia,19091,new,45,Blue,0,Loan
306,2019-07-15,Fusion,Ford,27154,new,41,Black,0,Cash
307,2019-08-14,Escape,Ford,25122,new,27,Gray,0,Loan
308,2020-02-12,Tucson,Hyundai,34402,new,33,Blue,0,Lease
309,2022-11-16,CX-5,Mazda,16919,used,59,Blue,35722,Loan
310,2022-09-09,Tucson,Hyundai,23074,used,57,Blue,39258,Lease
311,2021-09-18,Malibu,Chevrolet,20221,new,36,Black,0,Cash
312,2021-01-16,Focus,Ford,27261,used,37,White,55049,Lease
313,2020-12-18,Sportage,Kia,26411,used,57,Silver,35865,Lease
314,2022-04-27,Focus,Ford,20657,used,64,White,20483,Loan
315,2023-10-20,Sentra,Nissan,29575,used,39,Blue,37955,Cash
316,2020-07-08,Corolla,Toyota,34471,new,31,Gray,0,Lease
317,2020-11-14,Mazda6,Mazda,30737,new,37,Red,0,Cash
318,2019-04-09,Mazda3,Mazda,29494,new,47,Gray,0,Lease
319,2022-12-31,CX-5,Mazda,19644,used,64,Gray,25483,Lease
320,2021-10-04,Corolla,Toyota,25414,new,25,Silver,0,Loan
321,2021-04-25,Sentra,Nissan,21862,used,58,White,65266,Cash
322,2021-11-26,Legacy,Subaru,19277,new,36,Red,0,Loan
323,2019-10-21,Focus,Ford,19972,used,29,Silver,63698,Cash
324,2023-06-29,Tiguan,Volkswagen,17406,used,60,Blue,47783,Lease
325,2020-10-04,Focus,Ford,23682,new,43,Red,0,Loan
326,2022-07-10,Jetta,Volkswagen,18912,new,41,Red,0,Cash
327,2022-12-03,Passat,Volkswagen,23205,new,45,Gray,0,Lease
328,2022-12-09,Tucson,Hyundai,28007,used,41,White,60964,Loan
329,2019-07-19,Tucson,Hyundai,20326,new,42,Gray,0,Loan
330,2020-03-21,Elantra,Hyundai,19645,new,25,Blue,0,Lease
331,2020-04-11,Mazda6,Mazda,30895,new,62,Blue,0,Lease
332,2021-06-22,Elantra,Hyundai,28107,used,34,Black,30110,Loan
333,2023-08-29,Impala,Chevrolet,18329,new,30,Black,0,Loan
334,2023-01-08,CX-5,Mazda,30414,new,57,Silver,0,Loan
335,2020-12-24,Jetta,Volkswagen,24578,used,42,Red,68407,Lease
336,2021-01-20,Tiguan,Volkswagen,22944,used,59,Black,60227,Lease
337,2023-01-15,Tiguan,Volkswagen,27905,used,23,Gray,64781,Cash
338,2021-09-30,Fusion,Ford,27253,used,56,Black,53268,Lease
339,2022-09-22,Tucson,Hyundai,31821,new,59,White,0,Loan
340,2023-05-12,Impreza,Subaru,27876,new,42,Silver,0,Loan
341,2022-12-22,CRV,Honda,28269,new,57,Black,0,Loan
342,2021-05-10,Malibu,Chevrolet,19773,used,52,Black,31600,Lease
343,2020-03-01,Jetta,Volkswagen,21292,new,53,Blue,0,Lease
344,2020-02-09,Escape,Ford,29803,used,29,Gray,64557,Cash
345,2020-11-08,Mazda6,Mazda,30424,new,30,Red,0,Loan
346,2019-06-25,Corolla,Toyota,24828,used,34,White,37678,Loan
347,2021-07-26,Impreza,Subaru,30613,new,40,Silver,0,Cash
348,2022-03-11,Accord,Honda,30484,new,47,Gray,0,Lease
349,2020-02-13,Outback,Subaru,20789,new,27,White,0,Loan
350,2023-06-07,Passat,Volkswagen,33089,new,40,Gray,0,Cash
351,2019-04-06,Malibu,Chevrolet,23184,new,46,Silver,0,Loan
352,2019-01-13,Fusion,Ford,18184,used,25,White,62486,Lease
353,2019-10-13,Impala,Chevrolet,30504,new,35,Silver,0,Loan
354,2023-08-19,Legacy,Subaru,18155,new,53,Gray,0,Lease
355,2022-11-03,Rogue,Nissan,20478,used,30,Blue,68012,Loan
356,2019-01-18,Rogue,Nissan,21224,used,27,Gray,52649,Loan
357,2022-06-17,Forte,Kia,22564,used,57,Black,33148,Cash
358,2021-06-30,Civic,Honda,17445,used,47,Silver,11937,Loan
359,2023-07-09,Passat,Volkswagen,31888,new,42,Black,0,Loan
360,2023-10-17,Sentra,Nissan,20839,used,59,Black,29629,Loan
361,2020-01-02,Escape,Ford,23933,new,63,Blue,0,Cash
362,2022-12-28,Outback,Subaru,28425,used,46,Gray,61427,Loan
363,2022-03-30,Corolla,Toyota,21288,used,22,Blue,47722,Cash
364,2019-07-28,Impala,Chevrolet,16141,used,41,White,46293,Loan
365,2022-10-04,Sentra,Nissan,26296,new,41,Blue,0,Loan
366,2020-03-02,Equinox,Chevrolet,26557,used,35,Gray,24610,Cash
367,2022-04-01,Sentra,Nissan,28822,used,28,White,68535,Loan
368,2020-12-07,Impala,Chevrolet,21486,used,37,White,12546,Lease
369,2023-11-13,Outback,Subaru,26731,used,37,Blue,26865,Loan
370,2021-11-24,CX-5,Mazda,32185,new,29,Gray,0,Loan
371,2022-06-19,Equinox,Chevrolet,29443,new,31,Red,0,Loan
372,2022-06-13,RAV4,Toyota,18209,new,42,Gray,0,Lease
373,2022-10-18,Sentra,Nissan,28873,new,34,Red,0,Cash
374,2021-10-14,Corolla,Toyota,29046,used,53,Silver,66532,Cash
375,2021-10-05,Malibu,Chevrolet,23419,used,63,Blue,32125,Lease
376,2019-04-13,CX-5,Mazda,23333,used,48,Black,46908,Loan
377,2020-04-25,Impala,Chevrolet,15561,used,35,Blue,15973,Lease
378,2020-07-10,CRV,Honda,22353,used,36,Red,52880,Loan
379,2022-05-22,Elantra,Hyundai,16853,used,44,Black,43378,Loan
380,2020-06-01,Sentra,Nissan,22488,used,41,White,52553,Cash
381,2020-09-12,Civic,Honda,33658,new,43,Blue,0,Lease
382,2022-07-24,Focus,Ford,23587,new,32,Red,0,Lease
383,2020-08-19,Sentra,Nissan,25861,new,31,Blue,0,Loan
384,2023-03-16,Camry,Toyota,33752,new,28,Blue,0,Cash
385,2020-11-06,RAV4,Toyota,18143,new,25,Blue,0,Loan
386,2023-09-18,Impala,Chevrolet,22950,new,36,Blue,0,Lease
387,2022-06-04,Outback,Subaru,24709,used,58,White,38711,Lease
388,2020-01-03,Focus,Ford,30902,new,53,Blue,0,Cash
389,2020-06-25,Sonata,Hyundai,17304,used,31,Silver,60760,Cash
